Bay,Seagrass,Plot,GPS name,Site,Seagrass spp.,Depth (ft),Depth (m),Lat,Long
Brewers Bay,Halophila stipulacea,Settlement,BB-HS-SET1,Brewers Bay,H. stipulacea,8,2.4384,18.34143,64.97734
Brewers Bay,Halophila stipulacea,Settlement,BB-HS-SET1,Brewers Bay,H. stipulacea,8,2.4384,18.34143,64.97734
Brewers Bay,Halophila stipulacea,Settlement,BB-HS-SET2,Brewers Bay,H. stipulacea,54,16.4592,18.33999,64.98078
Lindbergh Bay,Halophila stipulacea,Settlement,LB-HS-SET,Lindbergh Bay,H. stipulacea,18,5.4864,18.33377,64.96461
Lindbergh Bay,Syringodium filiforme,Settlement,LB-SF-SET,Lindbergh Bay,S. filiforme,19,5.7912,18.33346,64.96484
Lindbergh Bay,Thalassia testudinium,Settlement,LB-TT-SET,Lindbergh Bay,T. testudinum,12,3.6576,18.33378,64.96436
Saba Island,Halophila stipulacea,Settlement,SI-HS-SET,Saba Island,H. stipulacea,27,8.2296,18.3062,65.0028
Saba Island,Syringodium filiforme,Settlement,SI-SF-SET,Saba Island,S. filiforme,31,9.4488,18.30639,65.00339
Saba Island,Thalassia testudinium,Settlement,SI-TT-SET,Saba Island,T. testudinum,34,10.3632,18.30634,65.00391
Frenchman Bay,Halophila stipulacea,Settlement,FB-HS-SET1,Frenchmans Bay,H. stipulacea,16,4.8768,18.31289,64.90791
Frenchman Bay,Syringodium filiforme,Settlement,FB-SF-SET1,Frenchmans Bay,S. filiforme,16,4.8768,18.31261,64.90828
Frenchman Bay,Thalassia testudinium,Settlement,FB-TT-SET1,Frenchmans Bay,T. testudinum,4,1.22,18.31212,64.9068
Frenchman Bay,Thalassia testudinium,Settlement,FB-TT-SET2,Frenchmans Bay,T. testudinum,16,4.8768,18.31269,64.90839
Sprat Bay,Halophila stipulacea,Settlement,SB-HS-SET,Sprat Bay,H. stipulacea,15,4.572,18.32031,64.94436
Sprat Bay,Syringodium filiforme,Settlement,SB-SF-SET,Sprat Bay,S. filiforme,26,7.9248,18.32115,64.94478
Sprat Bay,Thalassia testudinium,Settlement,SB-TT-SET1,Sprat Bay,T. testudinum,5,1.524,18.31936,64.94878
,,,,,,,,,
